Sample in Buffer,Sample in Window,TRIGGER,CPU/datapath/RegisterFile/output[4]_3[31:0],CPU/datapath/RegisterFile/output[0]_7[31:0],CPU/datapath/RegisterFile/output[6]_1[31:0],CPU/datapath/RegisterFile/output[7]_0[31:0],CPU/datapath/AdressI[31:0],CPU/datapath/RegisterFile/output[1]_6[31:0],CPU/datapath/RegisterFile/output[2]_5[31:0],CPU/datapath/RegisterFile/output[5]_2[31:0],CPU/datapath/RegisterFile/output[3]_4[31:0],CPU/datapath/PC_out[31:0],CPU/I_line[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
127,127,0,00000418,00000044,1800fdd8,000003a2,1800fdd8,08000280,0000001e,00000002,00000000,000002f0,40b0
128,128,0,00000418,00000044,1800fdd8,000003a2,1800fdd8,08000280,0000001e,00000002,00000000,000002f0,40b0
129,129,0,00000418,00000044,1800fdd8,000003a2,000002f0,08000280,0000001e,00000002,00000000,000002f2,40b0
130,130,0,00000418,00000044,1800fdd8,000003a2,000002f0,08000280,0000001e,00000002,00000000,000002f2,0679
131,131,0,00000418,00000044,1800fdd8,000003a2,00000324,00000000,0000001e,00000002,00000000,000002f2,0679
132,132,0,00000418,00000044,1800fdd8,000003a2,00000324,1800ffff,0000001e,00000002,00000000,000002f2,0679
133,133,0,00000418,00000044,1800fdd8,000003a2,00000324,1800ffff,0000001e,00000002,00000000,000002f2,0679
134,134,0,00000418,00000044,1800fdd8,000003a2,000002f2,1800ffff,0000001e,00000002,00000000,000002f4,0679
135,135,0,00000418,00000044,1800fdd8,000003a2,000002f2,1800ffff,0000001e,00000002,00000000,000002f4,000a
136,136,0,00000418,00000044,1800fdd8,000003a2,1800ffff,1800ffff,00000000,00000002,00000000,000002f4,000a
137,137,0,00000418,00000044,1800fdd8,000003a2,1800ffff,1800ffff,00000004,00000002,00000000,000002f4,000a
138,138,0,00000418,00000044,1800fdd8,000003a2,1800ffff,1800ffff,00000004,00000002,00000000,000002f4,000a
139,139,0,00000418,00000044,1800fdd8,000003a2,000002f4,1800ffff,00000004,00000002,00000000,000002f6,000a
140,140,0,00000418,00000044,1800fdd8,000003a2,000002f4,1800ffff,00000004,00000002,00000000,000002f6,067b
141,141,0,00000418,00000044,1800fdd8,000003a2,00000328,1800ffff,00000004,00000002,00000000,000002f6,067b
142,142,0,00000418,00000044,1800fdd8,000003a2,00000328,1800ffff,00000004,00000002,08000000,000002f6,067b
143,143,0,00000418,00000044,1800fdd8,000003a2,00000328,1800ffff,00000004,00000002,08000000,000002f6,067b
144,144,0,00000418,00000044,1800fdd8,000003a2,000002f6,1800ffff,00000004,00000002,08000000,000002f8,067b
145,145,0,00000418,00000044,1800fdd8,000003a2,000002f6,1800ffff,00000004,00000002,08000000,000002f8,809b
146,146,0,00000418,00000044,1800fdd8,000003a2,000002f6,1800ffff,00000004,00000002,08000004,000002f8,809b
147,147,0,00000418,00000044,1800fdd8,000003a2,000002f8,1800ffff,00000004,00000002,08000004,000002fa,809b
148,148,0,00000418,00000044,1800fdd8,000003a2,000002f8,1800ffff,00000004,00000002,08000004,000002fa,a004
149,149,0,00000044,00000044,1800fdd8,000003a2,000002f8,1800ffff,00000004,00000002,08000004,000002fa,a004
150,150,0,00000044,00000044,1800fdd8,000003a2,000002fa,1800ffff,00000004,00000002,08000004,000002fc,a004
151,151,0,00000044,00000044,1800fdd8,000003a2,000002fa,1800ffff,00000004,00000002,08000004,000002fc,c87c
152,152,0,00000004,00000044,1800fdd8,000003a2,000002fa,1800ffff,00000004,00000002,08000004,000002fc,c87c
153,153,0,00000004,00000044,1800fdd8,000003a2,000002fc,1800ffff,00000004,00000002,08000004,000002fe,c87c
154,154,0,00000004,00000044,1800fdd8,000003a2,000002fc,1800ffff,00000004,00000002,08000004,000002fe,401c
155,155,0,00000004,00000044,1800fdd8,000003a2,08000004,1800ffff,00000004,00000002,08000004,000002fe,401c
156,156,0,00000004,00000044,1800fdd8,000003a2,08000004,1800ffff,00000004,00000002,08000004,000002fe,401c
157,157,0,00000004,00000044,1800fdd8,000003a2,08000004,1800ffff,00000004,00000002,08000004,000002fe,401c
158,158,0,00000004,00000044,1800fdd8,000003a2,08000004,1800ffff,00000004,00000002,08000004,000002fe,401c
159,159,0,00000004,00000044,1800fdd8,000003a2,08000004,1800ffff,00000004,00000002,08000004,000002fe,401c
160,160,0,00000004,00000044,1800fdd8,000003a2,08000004,1800ffff,00000004,00000002,08000004,000002fe,401c
161,161,0,00000004,00000044,1800fdd8,000003a2,000002fe,1800ffff,00000004,00000002,08000004,00000300,401c
162,162,0,00000004,00000044,1800fdd8,000003a2,000002fe,1800ffff,00000004,00000002,08000004,00000300,b104
163,163,0,00000004,00000044,1800fdd8,000003a2,000002fe,1800ffff,00000004,00000002,08000004,00000300,b104
164,164,0,00000004,00000044,1800fdd8,000003a2,00000300,1800ffff,00000004,00000002,08000004,00000302,b104
165,165,0,00000004,00000044,1800fdd8,000003a2,00000300,1800ffff,00000004,00000002,08000004,00000302,c87c
166,166,0,00000004,00000044,1800fdd8,000003a2,00000300,1800ffff,00000004,00000002,08000004,00000302,c87c
167,167,0,00000004,00000044,1800fdd8,000003a2,00000302,1800ffff,00000004,00000002,08000004,00000304,c87c
168,168,0,00000004,00000044,1800fdd8,000003a2,00000302,1800ffff,00000004,00000002,08000004,00000304,411c
169,169,0,00000004,00000044,1800fdd8,000003a2,08000005,1800ffff,00000004,00000002,08000004,00000304,411c
170,170,0,00000004,00000044,1800fdd8,000003a2,08000005,1800ffff,00000004,00000002,08000004,00000304,411c
171,171,0,00000004,00000044,1800fdd8,000003a2,08000005,1800ffff,00000004,00000002,08000004,00000304,411c
172,172,0,00000004,00000044,1800fdd8,000003a2,08000005,1800ffff,00000004,00000002,08000004,00000304,411c
173,173,0,00000004,00000044,1800fdd8,000003a2,08000005,1800ffff,00000004,00000002,08000004,00000304,411c
174,174,0,00000004,00000044,1800fdd8,000003a2,08000005,1800ffff,00000004,00000002,08000004,00000304,411c
175,175,0,00000004,00000044,1800fdd8,000003a2,00000304,1800ffff,00000004,00000002,08000004,00000306,411c
176,176,0,00000004,00000044,1800fdd8,000003a2,00000304,1800ffff,00000004,00000002,08000004,00000306,a092
177,177,0,00000004,00000044,1800fdd8,000003a2,00000304,1800ffff,00000006,00000002,08000004,00000306,a092
178,178,0,00000004,00000044,1800fdd8,000003a2,00000306,1800ffff,00000006,00000002,08000004,00000308,a092
179,179,0,00000004,00000044,1800fdd8,000003a2,00000306,1800ffff,00000006,00000002,08000004,00000308,8742
180,180,0,00000004,00000044,1800fdd8,000003a2,00000306,1800ffff,00000006,00000002,08000004,00000308,8742
181,181,0,00000004,00000044,1800fdd8,000003a2,00000308,1800ffff,00000006,00000002,08000004,0000030a,8742
182,182,0,00000004,00000044,1800fdd8,000003a2,00000308,1800ffff,00000006,00000002,08000004,0000030a,fc81
183,183,0,00000004,00000044,1800fdd8,000003a2,00000308,1800ffff,00000006,00000002,08000004,0000030c,fc81
184,184,0,00000004,00000044,1800fdd8,000003a2,0000030c,1800ffff,00000006,00000002,08000004,0000030e,fc81
185,185,0,00000004,00000044,1800fdd8,000003a2,0000030c,1800ffff,00000006,00000002,08000004,0000030e,400a
186,186,0,00000004,00000044,1800fdd8,000003a2,1800ffff,1800ffff,00000006,00000002,08000004,0000030e,400a
187,187,0,00000004,00000044,1800fdd8,000003a2,1800ffff,1800ffff,00000006,00000002,08000004,0000030e,400a
188,188,0,00000004,00000044,1800fdd8,000003a2,1800ffff,1800ffff,00000006,00000002,08000004,0000030e,400a
189,189,0,00000004,00000044,1800fdd8,000003a2,0000030e,1800ffff,00000006,00000002,08000004,00000310,400a
190,190,0,00000004,00000044,1800fdd8,000003a2,0000030e,1800ffff,00000006,00000002,08000004,00000310,00b0
191,191,0,00000004,00000000,1800fdd8,000003a2,1800fdd8,1800ffff,00000006,00000002,08000004,00000310,00b0
192,192,0,00000004,00000044,1800fdd8,000003a2,1800fdd8,1800ffff,00000006,00000002,08000004,00000310,00b0
193,193,0,00000004,00000044,1800fdd8,000003a2,1800fdd8,1800ffff,00000006,00000002,08000004,00000310,00b0
194,194,0,00000004,00000044,1800fdd8,000003a2,00000310,1800ffff,00000006,00000002,08000004,00000312,00b0
195,195,0,00000004,00000044,1800fdd8,000003a2,00000310,1800ffff,00000006,00000002,08000004,00000312,a136
196,196,0,00000004,00000044,1800fddc,000003a2,00000310,1800ffff,00000006,00000002,08000004,00000312,a136
197,197,0,00000004,00000044,1800fddc,000003a2,00000312,1800ffff,00000006,00000002,08000004,00000314,a136
198,198,0,00000004,00000044,1800fddc,000003a2,00000312,1800ffff,00000006,00000002,08000004,00000314,00b1
199,199,0,00000004,00000044,1800fddc,000003a2,1800fddc,00000000,00000006,00000002,08000004,00000314,00b1
200,200,0,00000004,00000044,1800fddc,000003a2,1800fddc,08000280,00000006,00000002,08000004,00000314,00b1
201,201,0,00000004,00000044,1800fddc,000003a2,1800fddc,08000280,00000006,00000002,08000004,00000314,00b1
202,202,0,00000004,00000044,1800fddc,000003a2,00000314,08000280,00000006,00000002,08000004,00000316,00b1
203,203,0,00000004,00000044,1800fddc,000003a2,00000314,08000280,00000006,00000002,08000004,00000316,a136
204,204,0,00000004,00000044,1800fde0,000003a2,00000314,08000280,00000006,00000002,08000004,00000316,a136
205,205,0,00000004,00000044,1800fde0,000003a2,00000316,08000280,00000006,00000002,08000004,00000318,a136
206,206,0,00000004,00000044,1800fde0,000003a2,00000316,08000280,00000006,00000002,08000004,00000318,00b2
207,207,0,00000004,00000044,1800fde0,000003a2,1800fde0,08000280,00000000,00000002,08000004,00000318,00b2
208,208,0,00000004,00000044,1800fde0,000003a2,1800fde0,08000280,0000001e,00000002,08000004,00000318,00b2
209,209,0,00000004,00000044,1800fde0,000003a2,1800fde0,08000280,0000001e,00000002,08000004,00000318,00b2
210,210,0,00000004,00000044,1800fde0,000003a2,00000318,08000280,0000001e,00000002,08000004,0000031a,00b2
211,211,0,00000004,00000044,1800fde0,000003a2,00000318,08000280,0000001e,00000002,08000004,0000031a,a136
212,212,0,00000004,00000044,1800fde4,000003a2,00000318,08000280,0000001e,00000002,08000004,0000031a,a136
213,213,0,00000004,00000044,1800fde4,000003a2,0000031a,08000280,0000001e,00000002,08000004,0000031c,a136
214,214,0,00000004,00000044,1800fde4,000003a2,0000031a,08000280,0000001e,00000002,08000004,0000031c,00b3
215,215,0,00000004,00000044,1800fde4,000003a2,1800fde4,08000280,0000001e,00000002,00000000,0000031c,00b3
216,216,0,00000004,00000044,1800fde4,000003a2,1800fde4,08000280,0000001e,00000002,00000000,0000031c,00b3
217,217,0,00000004,00000044,1800fde4,000003a2,1800fde4,08000280,0000001e,00000002,00000000,0000031c,00b3
218,218,0,00000004,00000044,1800fde4,000003a2,0000031c,08000280,0000001e,00000002,00000000,0000031e,00b3
219,219,0,00000004,00000044,1800fde4,000003a2,0000031c,08000280,0000001e,00000002,00000000,0000031e,a136
